"","Date","High","Low","Close","High2"
"3","2019-09-06 19:03:59",2978.71,2978.71,2978.71,"2978.71"
"4","2019-09-06 19:04:28",2978.71,2978.71,2978.71,"2978.71"
"5","2019-09-06 19:04:58",2978.71,2978.71,2978.71,"2978.71"
"6","2019-09-06 19:05:28",2978.71,2978.71,2978.71,"2978.71"
"7","2019-09-06 19:05:58",2978.71,2978.71,2978.71,"2978.71"
"8","2019-09-06 19:06:28",2978.71,2978.71,2978.71,"2978.71"
"9","2019-09-06 19:06:58",2978.71,2978.71,2978.71,"2978.71"
"10","2019-09-06 19:07:28",2978.71,2978.71,2978.71,"2978.71"
"11","2019-09-06 19:07:58",2978.71,2978.71,2978.71,"2978.71"
"12","2019-09-06 19:08:28",2978.71,2978.71,2978.71,"2978.71"
"13","2019-09-06 19:08:58",2978.71,2978.71,2978.71,"2978.71"
"14","2019-09-06 19:09:28",2978.71,2978.71,2978.71,"2978.71"
"15","2019-09-06 19:09:58",2978.71,2978.71,2978.71,"2978.71"
"16","2019-09-06 19:10:28",2978.71,2978.71,2978.71,"2978.71"
"17","2019-09-06 19:10:58",2978.71,2978.71,2978.71,"2978.71"
"18","2019-09-06 19:11:28",2978.71,2978.71,2978.71,"2978.71"
"19","2019-09-06 19:11:58",2978.71,2978.71,2978.71,"2978.71"
"20","2019-09-06 19:12:28",2978.71,2978.71,2978.71,"2978.71"
"21","2019-09-06 19:12:58",2978.71,2978.71,2978.71,"2978.71"
"22","2019-09-06 19:13:28",2978.71,2978.71,2978.71,"2978.71"
"23","2019-09-06 19:13:58",2978.71,2978.71,2978.71,"2978.71"
"24","2019-09-06 19:14:28",2978.71,2978.71,2978.71,"2978.71"
"25","2019-09-06 19:14:58",2978.71,2978.71,2978.71,"2978.71"
"26","2019-09-06 19:15:28",2978.71,2978.71,2978.71,"2978.71"
"27","2019-09-06 19:15:58",2978.71,2978.71,2978.71,"2978.71"
"28","2019-09-06 19:16:28",2978.71,2978.71,2978.71,"2978.71"
"29","2019-09-06 19:24:34",2978.71,2978.71,2978.71,"2978.71"
"30","2019-09-06 19:24:34",2978.71,2978.71,2978.71,"2978.71"
"31","2019-09-06 19:24:34",2978.71,2978.71,2978.71,"2978.71"
"32","2019-09-06 19:24:34",2978.71,2978.71,2978.71,"2978.71"
"33","2019-09-06 19:24:34",2978.71,2978.71,2978.71,"2978.71"
"34","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"35","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"36","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"37","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"38","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"39","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"40","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"41","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"42","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"43","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"44","2019-09-06 19:24:35",2978.71,2978.71,2978.71,"2978.71"
"45","2019-09-06 19:24:58",2978.71,2978.71,2978.71,"2978.71"
"46","2019-09-06 19:25:28",2978.71,2978.71,2978.71,"2978.71"
"47","2019-09-06 19:25:58",2978.71,2978.71,2978.71,"2978.71"
"48","2019-09-06 19:26:28",2978.71,2978.71,2978.71,"2978.71"
"49","2019-09-06 19:26:58",2978.71,2978.71,2978.71,"2978.71"
"50","2019-09-06 19:27:28",2978.71,2978.71,2978.71,"2978.71"
"51","2019-09-06 19:27:58",2978.71,2978.71,2978.71,"2978.71"
"52","2019-09-06 19:28:28",2978.71,2978.71,2978.71,"2978.71"
"53","2019-09-06 19:28:58",2978.71,2978.71,2978.71,"2978.71"
"54","2019-09-06 19:29:28",2978.71,2978.71,2978.71,"2978.71"
"55","2019-09-06 19:29:58",2978.71,2978.71,2978.71,"2978.71"
"56","2019-09-06 19:30:28",2978.71,2978.71,2978.71,"2978.71"
"57","2019-09-06 19:30:58",2978.71,2978.71,2978.71,"2978.71"
"58","2019-09-06 19:31:28",2978.71,2978.71,2978.71,"2978.71"
"59","2019-09-06 19:31:58",2978.71,2978.71,2978.71,"2978.71"
"60","2019-09-06 19:32:28",2978.71,2978.71,2978.71,"2978.71"
"61","2019-09-06 19:32:58",2978.71,2978.71,2978.71,"2978.71"
"62","2019-09-06 19:33:28",2978.71,2978.71,2978.71,"2978.71"
