"","DateTime","Open","High","Low","Close"
"1","03/06/2019 17:05","2770.25","2770.50","2770.00","2770.25"
"2","03/06/2019 17:06","2770.50","2770.50","2770.25","2770.50"
"3","03/06/2019 17:07","2770.50","2771.00","2770.50","2770.75"
"4","03/06/2019 17:08","2770.75","2770.75","2770.50","2770.75"
"5","03/06/2019 17:09","2770.75","2770.75","2770.50","2770.75"
"6","03/06/2019 17:10","2770.75","2771.25","2770.50","2770.50"
"7","03/06/2019 17:11","2770.50","2770.75","2770.25","2770.50"
"8","03/06/2019 17:12","2770.50","2770.75","2770.50","2770.75"
"9","03/06/2019 17:13","2770.50","2770.75","2770.25","2770.50"
"10","03/06/2019 17:14","2770.50","2770.75","2770.50","2770.75"
"11","03/06/2019 17:15","2770.75","2770.75","2770.50","2770.50"
"12","03/06/2019 17:16","2770.50","2770.50","2770.25","2770.50"
"13","03/06/2019 17:17","2770.50","2770.50","2770.25","2770.50"
"14","03/06/2019 17:18","2770.25","2770.25","2769.50","2769.75"
"15","03/06/2019 17:19","2769.75","2770.00","2769.50","2769.75"
"16","03/06/2019 17:20","2769.75","2769.75","2769.50","2769.75"
"17","03/06/2019 17:21","2769.50","2770.00","2769.50","2770.00"
"18","03/06/2019 17:22","2770.00","2770.50","2770.00","2770.00"
"19","03/06/2019 17:23","2770.25","2770.25","2770.00","2770.25"
"20","03/06/2019 17:24","2770.50","2770.50","2770.25","2770.25"
"21","03/06/2019 17:25","2770.25","2770.25","2770.25","2770.25"
"22","03/06/2019 17:26","2770.25","2770.50","2770.25","2770.25"
"23","03/06/2019 17:27","2770.25","2770.25","2770.25","2770.25"
"24","03/06/2019 17:28","2770.50","2770.50","2770.25","2770.50"
"25","03/06/2019 17:29","2770.50","2770.75","2770.50","2770.75"
"26","03/06/2019 17:30","2771.00","2771.00","2770.75","2770.75"
"27","03/06/2019 17:31","2771.00","2771.00","2770.50","2770.75"
"28","03/06/2019 17:32","2770.75","2771.25","2770.75","2771.25"
"29","03/06/2019 17:33","2771.25","2771.50","2771.25","2771.50"
"30","03/06/2019 17:34","2771.50","2771.50","2771.00","2771.25"
"31","03/06/2019 17:35","2771.25","2771.25","2771.00","2771.25"
"32","03/06/2019 17:36","2771.25","2771.50","2771.00","2771.25"
"33","03/06/2019 17:37","2771.25","2771.25","2771.00","2771.25"
"34","03/06/2019 17:38","2771.25","2771.50","2771.00","2771.25"
"35","03/06/2019 17:39","2771.50","2771.50","2771.25","2771.50"
"36","03/06/2019 17:40","2771.50","2771.50","2771.25","2771.50"
"37","03/06/2019 17:41","2771.50","2771.50","2771.00","2771.25"
"38","03/06/2019 17:42","2771.25","2771.50","2771.25","2771.50"
"39","03/06/2019 17:43","2771.50","2771.50","2771.25","2771.50"
"40","03/06/2019 17:44","2771.50","2771.50","2771.25","2771.25"
"41","03/06/2019 17:45","2771.25","2771.50","2771.25","2771.50"
"42","03/06/2019 17:46","2771.50","2771.50","2770.50","2771.00"
"43","03/06/2019 17:47","2771.00","2771.00","2771.00","2771.00"
"44","03/06/2019 17:48","2771.00","2771.25","2771.00","2771.25"
"45","03/06/2019 17:49","2771.00","2771.25","2771.00","2771.25"
"46","03/06/2019 17:50","2771.25","2771.25","2770.75","2770.75"
"47","03/06/2019 17:51","2770.50","2770.50","2770.00","2770.00"
"48","03/06/2019 17:52","2770.00","2770.50","2770.00","2770.00"
"49","03/06/2019 17:53","2770.25","2770.25","2770.00","2770.25"
"50","03/06/2019 17:54","2770.25","2770.50","2770.00","2770.50"
"51","03/06/2019 17:55","2770.25","2770.50","2770.25","2770.50"
"52","03/06/2019 17:56","2770.50","2770.50","2766.25","2768.00"
"53","03/06/2019 17:57","2768.00","2768.50","2768.00","2768.50"
"54","03/06/2019 17:58","2768.25","2769.00","2768.00","2769.00"
"55","03/06/2019 17:59","2768.75","2768.75","2768.00","2768.25"
"56","03/06/2019 18:00","2768.25","2768.25","2767.75","2768.00"
"57","03/06/2019 18:01","2768.00","2768.50","2768.00","2768.50"
"58","03/06/2019 18:02","2768.50","2768.50","2767.25","2767.75"
"59","03/06/2019 18:03","2767.75","2768.00","2767.25","2767.50"
"60","03/06/2019 18:04","2767.50","2767.75","2767.25","2767.50"
"61","03/06/2019 18:05","2767.50","2767.75","2767.25","2767.50"
"62","03/06/2019 18:06","2767.25","2767.50","2766.50","2767.25"
"63","03/06/2019 18:07","2767.50","2768.00","2767.25","2768.00"
"64","03/06/2019 18:08","2768.00","2768.00","2767.00","2767.25"
"65","03/06/2019 18:09","2767.25","2767.75","2766.75","2767.25"
"66","03/06/2019 18:10","2767.25","2767.25","2766.25","2766.50"
"67","03/06/2019 18:11","2766.50","2767.00","2766.50","2766.50"
"68","03/06/2019 18:12","2766.50","2767.00","2766.50","2766.75"
"69","03/06/2019 18:13","2766.75","2767.50","2766.75","2767.50"
"70","03/06/2019 18:14","2767.50","2767.75","2767.50","2767.50"
"71","03/06/2019 18:15","2767.75","2767.75","2767.50","2767.75"
"72","03/06/2019 18:16","2767.50","2767.75","2767.50","2767.50"
"73","03/06/2019 18:17","2767.25","2767.25","2767.00","2767.25"
"74","03/06/2019 18:18","2767.00","2767.25","2767.00","2767.00"
"75","03/06/2019 18:19","2767.00","2767.25","2767.00","2767.00"
"76","03/06/2019 18:20","2766.75","2767.00","2765.75","2765.75"
"77","03/06/2019 18:21","2765.75","2767.00","2765.50","2766.75"
"78","03/06/2019 18:22","2766.75","2767.00","2766.50","2767.00"
"79","03/06/2019 18:23","2767.00","2767.25","2767.00","2767.25"
"80","03/06/2019 18:24","2767.25","2767.25","2767.00","2767.00"
"81","03/06/2019 18:25","2766.75","2767.25","2766.75","2767.00"
"82","03/06/2019 18:26","2767.00","2767.00","2766.75","2766.75"
"83","03/06/2019 18:27","2766.75","2767.25","2766.75","2767.25"
"84","03/06/2019 18:28","2767.00","2767.00","2766.75","2766.75"
"85","03/06/2019 18:29","2767.00","2767.25","2766.50","2766.50"
"86","03/06/2019 18:30","2766.50","2767.00","2766.25","2767.00"
"87","03/06/2019 18:31","2766.75","2767.00","2765.50","2766.00"
"88","03/06/2019 18:32","2766.25","2766.25","2766.00","2766.25"
"89","03/06/2019 18:33","2766.50","2767.25","2766.50","2766.75"
"90","03/06/2019 18:34","2766.75","2767.25","2766.75","2767.00"
"91","03/06/2019 18:35","2767.00","2767.25","2766.75","2767.25"
"92","03/06/2019 18:36","2767.50","2767.50","2767.00","2767.25"
"93","03/06/2019 18:37","2767.50","2767.50","2766.75","2766.75"
"94","03/06/2019 18:38","2767.00","2767.25","2767.00","2767.25"
"95","03/06/2019 18:39","2767.50","2767.75","2767.50","2767.50"
"96","03/06/2019 18:40","2767.50","2767.50","2767.25","2767.50"
"97","03/06/2019 18:41","2767.50","2767.75","2767.25","2767.50"
"98","03/06/2019 18:42","2767.75","2767.75","2767.50","2767.50"
"99","03/06/2019 18:43","2767.50","2768.25","2767.50","2768.00"
"100","03/06/2019 18:44","2768.00","2768.00","2767.50","2767.50"
"101","03/06/2019 18:45","2767.50","2767.75","2767.25","2767.50"
"102","03/06/2019 18:46","2767.25","2767.50","2767.00","2767.25"
"103","03/06/2019 18:47","2767.25","2767.25","2767.00","2767.00"
"104","03/06/2019 18:48","2767.00","2767.50","2767.00","2767.50"
"105","03/06/2019 18:49","2767.50","2767.75","2767.50","2767.50"
"106","03/06/2019 18:50","2767.50","2767.75","2767.25","2767.50"
"107","03/06/2019 18:51","2767.50","2767.75","2767.50","2767.75"
"108","03/06/2019 18:52","2767.75","2767.75","2767.50","2767.50"
"109","03/06/2019 18:53","2767.50","2767.50","2767.25","2767.25"
"110","03/06/2019 18:54","2767.25","2767.25","2766.75","2767.00"
"111","03/06/2019 18:55","2767.00","2767.00","2766.50","2766.50"
"112","03/06/2019 18:56","2766.75","2767.00","2766.50","2766.75"
"113","03/06/2019 18:57","2766.75","2766.75","2766.00","2766.25"
"114","03/06/2019 18:58","2766.25","2766.25","2766.00","2766.00"
"115","03/06/2019 18:59","2766.25","2766.25","2766.25","2766.25"
"116","03/06/2019 19:00","2766.25","2766.50","2766.25","2766.50"
