"","Open","High","Low","Close","mkeyDn","mkeyUp"
"2019-09-06 19:04:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:09:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:14:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:16:28",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:24:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:29:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:34:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:39:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:44:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:49:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:54:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:59:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:03:58",2978.71,2978.71,2978.71,2978.71,0,0
