"","Open","High","Low","Close","mkeyDn","mkeyUp"
"2019-09-06 19:03:59",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:05:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:07:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:09:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:11:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:13:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:15:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:16:28",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:25:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:27:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:29:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:31:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:33:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:35:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:37:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:39:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:41:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:43:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:45:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:47:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:49:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:51:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:53:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:55:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:57:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:59:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:01:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:03:58",2978.71,2978.71,2978.71,2978.71,0,0
