"","Open","High","Low","Close","mkeyDn","mkeyUp"
"2019-09-06 19:03:59",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:04:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:05:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:06:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:07:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:08:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:09:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:10:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:11:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:12:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:13:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:14:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:15:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:16:28",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:24:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:25:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:26:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:27:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:28:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:29:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:30:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:31:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:32:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:33:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:34:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:35:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:36:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:37:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:38:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:39:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:40:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:41:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:42:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:43:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:44:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:45:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:46:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:47:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:48:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:49:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:50:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:51:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:52:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:53:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:54:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:55:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:56:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:57:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:58:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 19:59:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:00:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:01:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:02:58",2978.71,2978.71,2978.71,2978.71,0,0
"2019-09-06 20:03:58",2978.71,2978.71,2978.71,2978.71,0,0
