"Index","Open","High","Low","Close"
2019-03-04 17:05:00,2790.5,2791,2788.5,2789.5
2019-03-04 17:10:00,2789.5,2789.5,2787.75,2788.5
2019-03-04 17:15:00,2788.5,2789,2788.25,2789
2019-03-04 17:20:00,2789,2789.5,2789,2789.25
2019-03-04 17:25:00,2789.25,2789.75,2789.25,2789.75
2019-03-04 17:30:00,2789.75,2790,2789,2789
2019-03-04 17:35:00,2789.25,2790.5,2789,2790.25
2019-03-04 17:40:00,2790.5,2790.5,2789.5,2789.75
2019-03-04 17:45:00,2789.75,2790.5,2789.75,2790.25
2019-03-04 17:50:00,2790.25,2790.5,2788.25,2789.25
2019-03-04 17:55:00,2789.5,2790,2789.25,2789.5
2019-03-04 18:00:00,2789.5,2790.75,2789.5,2790.75
2019-03-04 18:05:00,2791,2792.25,2789.75,2790.5
2019-03-04 18:10:00,2790.5,2790.75,2788,2790.25
2019-03-04 18:15:00,2790.5,2791,2789.75,2790.25
2019-03-04 18:20:00,2790,2791,2789.75,2790.75
2019-03-04 18:25:00,2790.75,2792,2790.75,2791.25
2019-03-04 18:30:00,2791.25,2791.5,2790.75,2791
2019-03-04 18:35:00,2791,2792,2791,2791.75
2019-03-04 18:40:00,2791.75,2792.5,2791.5,2791.75
2019-03-04 18:45:00,2791.75,2791.75,2791.25,2791.5
2019-03-04 18:50:00,2791.5,2791.5,2790,2790.5
2019-03-04 18:55:00,2790.5,2791,2790.5,2790.75
2019-03-04 19:00:00,2790.75,2790.75,2789.75,2789.75
2019-03-04 19:05:00,2790,2791.25,2789.25,2791
2019-03-04 19:10:00,2791.25,2791.5,2790.25,2790.25
2019-03-04 19:15:00,2790.25,2791.25,2790.25,2791.25
2019-03-04 19:20:00,2791.25,2791.75,2790.5,2790.5
2019-03-04 19:25:00,2790.75,2790.75,2788.75,2788.75
2019-03-04 19:30:00,2788.75,2789.5,2788.5,2789.25
2019-03-04 19:35:00,2789.25,2789.75,2788.25,2789.25
2019-03-04 19:40:00,2789.25,2790,2788.75,2789
2019-03-04 19:45:00,2789,2789.25,2788,2788.25
2019-03-04 19:50:00,2788,2788,2785.25,2787
2019-03-04 19:55:00,2786.75,2787,2785.25,2786
2019-03-04 20:00:00,2786.25,2786.75,2785.5,2785.75
2019-03-04 20:05:00,2785.75,2787.5,2785.75,2787.25
2019-03-04 20:10:00,2787.25,2787.5,2786,2786
2019-03-04 20:15:00,2786,2787.5,2786,2787
2019-03-04 20:20:00,2787,2788,2786.75,2787.75
2019-03-04 20:25:00,2787.75,2787.75,2786.75,2787
2019-03-04 20:30:00,2787.25,2788,2787,2787.75
2019-03-04 20:35:00,2787.75,2788.25,2787.5,2787.5
2019-03-04 20:40:00,2787.25,2788.75,2787,2788.75
2019-03-04 20:45:00,2788.75,2789.5,2788.25,2788.75
2019-03-04 20:50:00,2788.75,2789.25,2788.75,2788.75
2019-03-04 20:55:00,2789,2790,2789,2789.25
2019-03-04 21:00:00,2789.25,2790.75,2789,2790.25
2019-03-04 21:05:00,2790.25,2793,2790.25,2791
2019-03-04 21:10:00,2791,2791.5,2789.75,2790
2019-03-04 21:15:00,2789.75,2789.75,2788.75,2789.75
2019-03-04 21:20:00,2789.75,2789.75,2788.75,2789.25
2019-03-04 21:25:00,2789.25,2790.25,2789,2790
2019-03-04 21:30:00,2790,2790,2788.5,2789.75
2019-03-04 21:35:00,2789.5,2790.5,2789,2789.5
2019-03-04 21:40:00,2789.5,2790,2788.75,2789.75
2019-03-04 21:45:00,2789.75,2789.75,2789.25,2789.5
2019-03-04 21:50:00,2789.25,2790.75,2789.25,2790.25
2019-03-04 21:55:00,2790.5,2792.5,2790.5,2791.5
2019-03-04 22:00:00,2791.5,2791.5,2791,2791
2019-03-04 22:05:00,2791,2791.25,2790.75,2791
2019-03-04 22:10:00,2791.25,2791.5,2790.75,2790.75
2019-03-04 22:15:00,2790.5,2790.75,2790.25,2790.75
2019-03-04 22:20:00,2790.75,2790.75,2790,2790
2019-03-04 22:25:00,2790.25,2790.75,2790.25,2790.75
2019-03-04 22:30:00,2790.75,2791,2790.5,2790.5
2019-03-04 22:35:00,2790.5,2790.5,2789.75,2790.25
2019-03-04 22:40:00,2790.25,2790.75,2790.25,2790.5
2019-03-04 22:45:00,2790.5,2790.75,2790.5,2790.75
2019-03-04 22:50:00,2790.75,2791,2790.75,2790.75
2019-03-04 22:55:00,2790.75,2790.75,2790,2790.25
2019-03-04 23:00:00,2790,2790.5,2790,2790.25
2019-03-04 23:05:00,2790.25,2790.25,2789.5,2789.75
2019-03-04 23:10:00,2789.75,2790,2789.25,2789.5
2019-03-04 23:15:00,2789.5,2790.25,2789.5,2790.25
2019-03-04 23:20:00,2790,2790.5,2790,2790.25
2019-03-04 23:25:00,2790.25,2790.75,2790,2790.5
2019-03-04 23:30:00,2790.5,2791,2790.25,2791
2019-03-04 23:35:00,2791,2791,2790,2790
2019-03-04 23:40:00,2790.25,2791.5,2790.25,2791.25
2019-03-04 23:45:00,2791.25,2791.25,2790.5,2790.5
2019-03-04 23:50:00,2790.5,2790.5,2790,2790.5
2019-03-04 23:55:00,2790.5,2790.75,2790.25,2790.75
2019-03-05 00:00:00,2790.75,2791.5,2790.25,2791.25
2019-03-05 00:05:00,2791.25,2792.25,2791.25,2791.75
2019-03-05 00:10:00,2792,2792.25,2791.5,2792.25
2019-03-05 00:15:00,2792.25,2792.5,2791.75,2792.25
2019-03-05 00:20:00,2792,2792.25,2791.75,2792.25
2019-03-05 00:25:00,2792.25,2793.75,2792.25,2793.75
2019-03-05 00:30:00,2793.5,2793.75,2793,2793
2019-03-05 00:35:00,2793,2793.25,2792.75,2793
2019-03-05 00:40:00,2793,2793.25,2792,2792.25
2019-03-05 00:45:00,2792.25,2792.75,2792,2792.75
2019-03-05 00:50:00,2792.75,2793,2792.5,2792.5
2019-03-05 00:55:00,2792.5,2793,2792.25,2792.75
2019-03-05 01:00:00,2792.5,2793,2792.5,2792.75
2019-03-05 01:05:00,2793,2794.75,2793,2794.5
2019-03-05 01:10:00,2794.5,2794.5,2793.5,2794
2019-03-05 01:15:00,2794,2794,2793.5,2793.5
2019-03-05 01:20:00,2793.75,2793.75,2793.25,2793.25
2019-03-05 01:25:00,2793.5,2793.75,2793,2793
2019-03-05 01:30:00,2793,2793,2792.25,2792.5
2019-03-05 01:35:00,2792.5,2792.5,2791.5,2792
2019-03-05 01:40:00,2791.75,2792.5,2791.5,2792.5
2019-03-05 01:45:00,2792.25,2792.75,2792.25,2792.75
2019-03-05 01:50:00,2792.5,2792.75,2792.25,2792.25
2019-03-05 01:55:00,2792.5,2792.5,2791.75,2792.25
2019-03-05 02:00:00,2792,2794,2792,2793.75
2019-03-05 02:05:00,2793.75,2794.25,2792.25,2792.5
2019-03-05 02:10:00,2792.25,2793.75,2792.25,2793.5
2019-03-05 02:15:00,2793.5,2794.5,2793.5,2794
2019-03-05 02:20:00,2794,2794.75,2794,2794
2019-03-05 02:25:00,2794.25,2794.5,2794,2794.25
2019-03-05 02:30:00,2794,2794.75,2793.75,2794.25
2019-03-05 02:35:00,2794,2795.5,2794,2795.25
2019-03-05 02:40:00,2795.25,2796.25,2795.25,2796
2019-03-05 02:45:00,2796,2796.25,2795.75,2795.75
2019-03-05 02:50:00,2796,2797.75,2796,2797.25
2019-03-05 02:55:00,2797.5,2798.5,2797.25,2798.25
2019-03-05 03:00:00,2798.25,2798.25,2797,2797.5
2019-03-05 03:05:00,2797.75,2797.75,2796.5,2796.75
2019-03-05 03:10:00,2796.75,2797.75,2796.5,2797.5
2019-03-05 03:15:00,2797.5,2797.5,2796.5,2796.75
2019-03-05 03:20:00,2797,2797.25,2796.5,2797
2019-03-05 03:25:00,2797.25,2798,2796.75,2798
2019-03-05 03:30:00,2798,2798.75,2797.5,2798.5
2019-03-05 03:35:00,2798.75,2799,2797.75,2798
2019-03-05 03:40:00,2797.75,2797.75,2797,2797.25
2019-03-05 03:45:00,2797.25,2797.5,2796.5,2797
2019-03-05 03:50:00,2797.25,2798.5,2797,2797.25
2019-03-05 03:55:00,2797.5,2797.75,2796.5,2796.75
2019-03-05 04:00:00,2797,2798,2796.75,2797.75
2019-03-05 04:05:00,2797.75,2798,2797,2797.5
2019-03-05 04:10:00,2797.5,2798.25,2797.25,2797.25
2019-03-05 04:15:00,2797.25,2797.25,2796.5,2796.75
2019-03-05 04:20:00,2796.5,2796.5,2795.25,2795.25
2019-03-05 04:25:00,2795.5,2796,2794.75,2795.75
2019-03-05 04:30:00,2795.75,2796.25,2795.25,2796
2019-03-05 04:35:00,2796,2796.75,2796,2796.25
2019-03-05 04:40:00,2796.5,2796.75,2796,2796.25
2019-03-05 04:45:00,2796.25,2796.25,2795,2795.25
2019-03-05 04:50:00,2795.25,2795.75,2794.5,2795.5
2019-03-05 04:55:00,2795.5,2795.75,2795.5,2795.75
2019-03-05 05:00:00,2795.75,2796.25,2795.75,2795.75
2019-03-05 05:05:00,2795.75,2796,2794.75,2794.75
2019-03-05 05:10:00,2794.75,2795.25,2794.25,2794.5
2019-03-05 05:15:00,2794.25,2795.5,2794,2794.5
2019-03-05 05:20:00,2794.75,2795,2793.75,2794
2019-03-05 05:25:00,2794,2795.25,2793.75,2795.25
2019-03-05 05:30:00,2795.25,2795.25,2794.5,2794.75
2019-03-05 05:35:00,2795,2795.25,2794.5,2794.75
2019-03-05 05:40:00,2794.75,2795.75,2794.75,2795.25
2019-03-05 05:45:00,2795.5,2795.5,2794.75,2795
2019-03-05 05:50:00,2795,2795.25,2794.5,2795.25
2019-03-05 05:55:00,2795.25,2795.75,2795,2795.75
2019-03-05 06:00:00,2795.75,2796.25,2795.5,2796.25
2019-03-05 06:05:00,2796,2796.5,2795.5,2795.75
2019-03-05 06:10:00,2795.5,2795.75,2793.5,2793.5
2019-03-05 06:15:00,2793.75,2794,2793,2793.5
2019-03-05 06:20:00,2793.5,2794,2792.5,2792.5
2019-03-05 06:25:00,2792.75,2793.25,2792,2792.75
2019-03-05 06:30:00,2793,2793.75,2793,2793.75
2019-03-05 06:35:00,2793.75,2794,2793.25,2793.5
2019-03-05 06:40:00,2793.5,2794,2793.25,2793.25
2019-03-05 06:45:00,2793.25,2793.75,2792.25,2793.25
2019-03-05 06:50:00,2793,2793.25,2790.75,2791.25
2019-03-05 06:55:00,2791.25,2792.5,2791,2792.25
2019-03-05 07:00:00,2792,2792.75,2791.5,2791.75
